"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12374","userCantDepositAccountWithoutAmountTest()","","Sun Jun 07 13:03:11 UTC 2026","passed","Sun Jun 07 13:03:24 UTC 2026","","ui.iteration2.DepositAccountTest","ui.iteration2.DepositAccountTest","userCantDepositAccountWithoutAmountTest"
"Покрытие Swagger Coverage: 403 Forbidden для /transfer","1870","forbiddenTransferError()","","Sun Jun 07 13:05:21 UTC 2026","passed","Sun Jun 07 13:05:23 UTC 2026","","api.iteration2.MoneyTransferTest","api.iteration2.MoneyTransferTest","forbiddenTransferError"
"","5597","userCantChangeNameWithoutEnterNameTest()","","Sun Jun 07 13:03:33 UTC 2026","passed","Sun Jun 07 13:03:39 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithoutEnterNameTest"
"","2003","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 13:05:05 UTC 2026","passed","Sun Jun 07 13:05:07 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","6024","userCanChangeNameTest()","","Sun Jun 07 13:03:39 UTC 2026","passed","Sun Jun 07 13:03:45 UTC 2026","","ui.iteration2.UpdateUserNameTest","ui.iteration2.UpdateUserNameTest","userCanChangeNameTest"
"","45","userCantLoginTest(String, String, String, String) Негативные тесты","","Sun Jun 07 13:05:46 UTC 2026","passed","Sun Jun 07 13:05:46 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCantLoginTest"
"","5992","tearDownBackendData()","","Sun Jun 07 13:04:09 UTC 2026","passed","Sun Jun 07 13:04:15 UTC 2026","","ui.zzz.ZZZDatabaseCleanupTest","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData"
"","2451","userCanLoginWithCorrectDataTest()","","Sun Jun 07 13:04:00 UTC 2026","passed","Sun Jun 07 13:04:02 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","1954","negativeTest(String, String, String) Негативные тесты","","Sun Jun 07 13:04:52 UTC 2026","passed","Sun Jun 07 13:04:54 UTC 2026","","api.iteration2.UpdateUserNameTest","api.iteration2.UpdateUserNameTest","negativeTest"
"","4777","userCanCreateAccountTest()","","Sun Jun 07 13:04:04 UTC 2026","passed","Sun Jun 07 13:04:09 UTC 2026","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
