"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 07 13:37:04 UTC 2026","Sun Jun 07 13:37:04 UTC 2026","328","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCantCreateUserTest","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:16 UTC 2026","Sun Jun 07 13:35:19 UTC 2026","2559","","ui.iteration1.LoginUserTest","","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest","userCanLoginWithCorrectDataTest()",""
"passed","Sun Jun 07 13:36:26 UTC 2026","Sun Jun 07 13:36:29 UTC 2026","2157","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","negativeTest","negativeTest(String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:57 UTC 2026","Sun Jun 07 13:35:59 UTC 2026","2061","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCanDepositAccountTest","userCanDepositAccountTest()",""
"passed","Sun Jun 07 13:37:02 UTC 2026","Sun Jun 07 13:37:03 UTC 2026","40","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","unauthorizedGetUsersError","unauthorizedGetUsersError()","Покрытие Swagger Coverage: 401 Unauthorized для GET /users"
"passed","Sun Jun 07 13:35:21 UTC 2026","Sun Jun 07 13:35:25 UTC 2026","4382","","ui.iteration1.CreateAccountTest","","ui.iteration1.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Sun Jun 07 13:36:01 UTC 2026","Sun Jun 07 13:36:03 UTC 2026","2392","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCantDepositAccountTest","userCantDepositAccountTest(Double, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:19 UTC 2026","Sun Jun 07 13:35:21 UTC 2026","1914","","ui.iteration1.LoginUserTest","","ui.iteration1.LoginUserTest","adminCanLoginWithCorrectDataTest","adminCanLoginWithCorrectDataTest()",""
"passed","Sun Jun 07 13:36:44 UTC 2026","Sun Jun 07 13:36:48 UTC 2026","4043","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:36:14 UTC 2026","Sun Jun 07 13:36:16 UTC 2026","2135","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","negativeTest","negativeTest(String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:34:37 UTC 2026","Sun Jun 07 13:34:41 UTC 2026","3532","","ui.iteration2.DepositAccountTest","","ui.iteration2.DepositAccountTest","userCantDepositAccountWithoutAccountTest","userCantDepositAccountWithoutAccountTest()",""
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","45","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCantLoginTest","userCantLoginTest(String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","39","","api.iteration1.CreateAccountTest","","api.iteration1.CreateAccountTest","unauthorizedCustomerAccountsError","unauthorizedCustomerAccountsError()","Покрытие Swagger Coverage: 401 Unauthorized для customer/accounts"
"passed","Sun Jun 07 13:37:04 UTC 2026","Sun Jun 07 13:37:06 UTC 2026","1300","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","forbiddenGetUsersError","forbiddenGetUsersError()","Покрытие Swagger Coverage: 403 Unauthorized для GET /users"
"passed","Sun Jun 07 13:35:25 UTC 2026","Sun Jun 07 13:35:32 UTC 2026","6425","","ui.zzz.ZZZDatabaseCleanupTest","","ui.zzz.ZZZDatabaseCleanupTest","tearDownBackendData","tearDownBackendData()",""
"passed","Sun Jun 07 13:36:34 UTC 2026","Sun Jun 07 13:36:38 UTC 2026","3756","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","userCanTransferMoneyYourselfTest","userCanTransferMoneyYourselfTest()",""
"passed","Sun Jun 07 13:36:52 UTC 2026","Sun Jun 07 13:36:56 UTC 2026","3170","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:51 UTC 2026","Sun Jun 07 13:35:53 UTC 2026","2148","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCanDepositMaxSumAccountTest","userCanDepositMaxSumAccountTest()",""
"passed","Sun Jun 07 13:36:56 UTC 2026","Sun Jun 07 13:36:59 UTC 2026","3277","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:36:18 UTC 2026","Sun Jun 07 13:36:22 UTC 2026","3764","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","negativeTest","negativeTest(String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:37:08 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","909","","api.iteration1.LoginUserTest","","api.iteration1.LoginUserTest","userCanLoginTest","userCanLoginTest()",""
"passed","Sun Jun 07 13:35:59 UTC 2026","Sun Jun 07 13:36:01 UTC 2026","1993","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCanDepositMinSumAccountTest","userCanDepositMinSumAccountTest()",""
"passed","Sun Jun 07 13:36:48 UTC 2026","Sun Jun 07 13:36:52 UTC 2026","4440","","api.iteration2.MoneyTransferTest","","api.iteration2.MoneyTransferTest","userCantTransferWithInvalidAmountTest","userCantTransferWithInvalidAmountTest(Double, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:37:04 UTC 2026","Sun Jun 07 13:37:04 UTC 2026","325","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCantCreateUserTest","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:53 UTC 2026","Sun Jun 07 13:35:57 UTC 2026","3223","","api.iteration2.DepositAccountTest","","api.iteration2.DepositAccountTest","userCantDepositToDiffAccount","userCantDepositToDiffAccount()",""
"passed","Sun Jun 07 13:35:41 UTC 2026","Sun Jun 07 13:35:45 UTC 2026","3141","","api.TransferWithFraudCheckTest","","api.TransferWithFraudCheckTest","testTransferWithFraudCheckUnathorized","testTransferWithFraudCheckUnathorized()",""
"passed","Sun Jun 07 13:37:07 UTC 2026","Sun Jun 07 13:37:08 UTC 2026","1030","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCanCreateUserTest","adminCanCreateUserTest()",""
"passed","Sun Jun 07 13:37:09 UTC 2026","Sun Jun 07 13:37:09 UTC 2026","29","","api.iteration1.CreateAccountTest","","api.iteration1.CreateAccountTest","unauthorizedPostAccountsError","unauthorizedPostAccountsError()","Покрытие Swagger Coverage: 401 Unauthorized для POST /accounts"
"passed","Sun Jun 07 13:35:45 UTC 2026","Sun Jun 07 13:35:50 UTC 2026","5007","","api.TransferWithFraudCheckTest","","api.TransferWithFraudCheckTest","testTransferWithFraudCheckForbidden","testTransferWithFraudCheckForbidden()",""
"passed","Sun Jun 07 13:37:03 UTC 2026","Sun Jun 07 13:37:03 UTC 2026","346","","api.iteration1.CreateUserTest","","api.iteration1.CreateUserTest","adminCantCreateUserTest","adminCantCreateUserTest(String, String, String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:05 UTC 2026","Sun Jun 07 13:35:09 UTC 2026","4362","","ui.iteration1.CreateUserTest","","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData()",""
"passed","Sun Jun 07 13:34:24 UTC 2026","Sun Jun 07 13:34:37 UTC 2026","12633","","ui.iteration2.DepositAccountTest","","ui.iteration2.DepositAccountTest","userCantDepositAccountWithoutAmountTest","userCantDepositAccountWithoutAmountTest()",""
"passed","Sun Jun 07 13:36:12 UTC 2026","Sun Jun 07 13:36:14 UTC 2026","2177","","api.iteration2.UpdateUserNameTest","","api.iteration2.UpdateUserNameTest","negativeTest","negativeTest(String, String, String) Негативные тесты",""
"passed","Sun Jun 07 13:35:37 UTC 2026","Sun Jun 07 13:35:41 UTC 2026","4217","","api.TransferWithFraudCheckTest","","api.TransferWithFraudCheckTest","testTransferWithFraudotricCheck","testTransferWithFraudotricCheck()",""
"passed","Sun Jun 07 13:34:59 UTC 2026","Sun Jun 07 13:35:05 UTC 2026","5777","","ui.iteration2.UpdateUserNameTest","","ui.iteration2.UpdateUserNameTest","userCantChangeNameWithOneWordTest","userCantChangeNameWithOneWordTest()",""
